"Years bp","non-background Pb Flux (µg/m2/a)","11-yr median filtered estimated Lead Emissions (kt/a)"
2401.5,0.132,0.311
2400.5,0.109,0.323
2399.5,0.092,0.323
2398.5,0.073,0.311
2397.5,0.169,0.323
2396.5,0.116,0.323
2395.5,0.289,0.325
2394.5,0.241,0.325
2393.5,0.122,0.325
2392.5,0.232,0.325
2391.5,0.132,0.299
2390.5,0.139,0.299
2389.5,0.05,0.299
2388.5,0.044,0.299
2387.5,0.117,0.325
2386.5,0.116,0.286
2385.5,0.115,0.286
2384.5,0.183,0.286
2383.5,1.615,0.343
2382.5,0.258,0.448
2381.5,0.031,0.482
2380.5,0.215,0.527
2379.5,0.286,0.527
2378.5,0.14,0.527
2377.5,0.263,0.482
2376.5,0.197,0.482
2375.5,0.24,0.482
2374.5,0.13,0.432
2373.5,0.129,0.432
2372.5,0.176,0.482
2371.5,0.272,0.432
2370.5,0.148,0.362
2369.5,0.12,0.318
2368.5,0.257,0.316
2367.5,0.25,0.311
2366.5,0.127,0.311
2365.5,0.108,0.311
2364.5,0.108,0.294
2363.5,0.117,0.288
2362.5,0.003,0.266
2361.5,0.13,0.266
2360.5,0.237,0.266
2359.5,0.089,0.266
2358.5,0.077,0.271
2357.5,0.09,0.271
2356.5,0.183,0.31
2355.5,0.11,0.271
2354.5,0.072,0.235
2353.5,0.127,0.235
2352.5,0.323,0.271
2351.5,0.237,0.31
2350.5,0.096,0.299
2349.5,0.071,0.31
2348.5,0.084,0.411
2347.5,0.167,0.451
2346.5,0.195,0.451
2345.5,0.122,0.451
2344.5,0.341,0.451
2343.5,0.184,0.451
2342.5,0.552,0.451
2341.5,0.338,0.451
2340.5,0.184,0.451
2339.5,0.158,0.451
2338.5,0.11,0.387
2337.5,0.099,0.364
2336.5,0.056,0.364
2335.5,0.246,0.364
2334.5,0.116,0.364
2333.5,0.078,0.364
2332.5,0.149,0.364
2331.5,0.175,0.381
2330.5,0.201,0.381
2329.5,0.171,0.364
2328.5,0.245,0.364
2327.5,0.12,0.364
2326.5,0.155,0.294
2325.5,0.072,0.294
2324.5,0.095,0.232
2323.5,0.056,0.232
2322.5,0.062,0.232
2321.5,0.045,0.232
2320.5,0.161,0.178
2319.5,0.055,0.232
2318.5,0.125,0.307
2317.5,0.155,0.307
2316.5,0.125,0.307
2315.5,0.06,0.307
2314.5,0.364,0.307
2313.5,0.14,0.307
2312.5,0.062,0.304
2311.5,0.049,0.301
2310.5,0.08,0.197
2309.5,0.161,0.197
2308.5,0.123,0.197
